SFmax_5721442,TXmin_GK48617,RHmax_GK48617,RFmax_6022062,RFmax_6122064,RFmax_KB48615,RFmax_6021010,RFmax_6120014,RFmax_6121001,RFd50mm_5920012,RHd10p_GK48617,RFd95p_6022001,RHd90p_KB48615,TXd90p_GK48617,TNd90p_GK48617,Cases
0.011124432,0.820754717,0.87394958,0.009448224,0.042579075,0.038433112,0.040036397,0.039631336,0.193449648,0,0,0,0,0,0,Low
0.012404281,0.877358491,0.630252101,0.041194255,0.109489051,0.019955654,0.051865332,0.052534562,0.036730946,0,0,0,0,0,0,Low
0.014823575,0.462264151,0.617647059,0.088435374,0.188969992,0.061345159,0.070427662,0,0.05785124,0,0,0,0,0,0.142857143,Low
0.015034183,0.716981132,0.428571429,0.034013605,0.054744526,0.094604582,0.026933576,0.021198157,0.009794919,0,0,0,0,0,0,Low
0.02938254,0.726415094,0.760504202,0.037414966,0.090024331,0.100517369,0.037306642,0.057695853,0.052341598,0,0,0,0,0,0,Low
0.021768245,0.849056604,0.655462185,0.002267574,0.02108678,0.113821138,0.004549591,0,0.024487297,0,0,0,0,0,0,Low
0.004816987,0.783018868,0.37394958,0.036281179,0.053122466,0.046563193,0.016378526,0,0.019895929,0,0,0,0.142857143,0,0.142857143,Low
0.011902062,0.877358491,0.886554622,0.004913076,0.0324412,0.019216556,0.047315742,0,0.24181206,0.285714286,0.142857143,0,0,0,0.142857143,Low
0.00310512,0.471698113,0.920168067,0.006613757,0.014193025,0.031781227,0.027297543,0.042396313,0.307009489,0,0,0,0,0,0,Low
0.003801748,0.594339623,0.81092437,0.099206349,0.336577453,0.169253511,0.099181074,0.001843318,0.673094582,0.142857143,0,0,0,0,0,Low
0.014596766,0.70754717,0.93697479,0.13681028,0.373884834,0.033259424,0.053867152,0.005529954,0.489133762,0.285714286,0,0,0,0,0,Low
0.03145082,0.698113208,0.714285714,0.46239607,0.584752636,0.059127864,0.018380346,0.166820276,0.065809611,0,0,0,0,0,0,Low
0.013289916,0.754716981,0.613445378,0.303287982,0.580291971,0.082039911,0.048043676,0.11483871,0.038261402,0.285714286,0,0.2,0,0,0,Low
0.02681204,0.839622642,0.861344538,0.030234316,0.123682076,0.054693274,0.005459509,0.38156682,0.177226814,0,0,0.4,0,0,0.142857143,Low
0.030359978,0.650943396,0.390756303,0.020597128,0.04379562,0.147080562,0.180709736,0.253640553,0.014080196,0.285714286,0,0.2,0,0,0.428571429,Low
0.045896381,0.566037736,0.340336134,0.093915344,0.118004866,0.130820399,0.114285714,0.034101382,0.00244873,0.428571429,0.142857143,0.2,0.142857143,0.428571429,0.428571429,Low
