WLmean_5721442,SFmean_5721442,RFmean_5920012,SFmax_5721442,RHmean_GK48617,TXmin_GK48617,RFmean_6023001,RHmax_GK48617,RFmax_6022062,RFmean_5922001,RFmax_6021010,RFmax_KB48615,RFmean_6021010,RFmax_6122064,RFmax_6121001,RFmax_6120014,RFd5p.d95p_5921009,RFd50mm_5920012,RFd5p.d95p_6022001,RFd1mm.d50mm_6120014,RFd1mm.d50mm_6021013,RFd5p.d95p_6121067,TMd10p.d90p_KB48615,TXd10p.d90p_KB48615,RFd5p.d95p_KB48615,RHd10p_GK48617,RFd5p.d95p_6121015,RFd5p.d95p_6122064,RHd10p.d90p_KB48615,TMd10p.d90p_GK4861,TNd10p.d90p_GK48617,RFd1mm.d50mm_6121001,RFd1mm.d50mm_6021060,RFd1mm.d50mm_6022062,RFd95p_6022001,RHd90p_KB48615,TNd23_KB48615,TNd90p_KB48615,TNd23.d34_KB48615,TNd10p_GK48617,TXd23.d34_GK48617,RHd10p_KB48615,TXd90p_GK48617,TNd90p_GK48617,Cases
0.103191854,0.012413544,0.000931836,0.011394442,0.710542352,0.254716981,0.011119348,0.663865546,0.082199546,0,0.002729754,0.03473762,0.001854599,0.198702352,0.077747169,0.000921659,0.428571429,0,0.428571429,0,0.142857143,0.285714286,1,1,0.285714286,0,0.571428571,0.285714286,1,1,1,0.285714286,0.571428571,0.285714286,0,0.142857143,0,0,1,0,1,0,0,0,Low
0.113602563,0.014537333,0.051483949,0.012571688,0.495734308,0.141509434,0.011119348,0.504201681,0.027210884,0,0.119199272,0.065779749,0.129821959,0.03325223,0.001530456,0.014930876,0.714285714,0.142857143,0.571428571,0,0.142857143,0,0.857142857,1,0.285714286,0,0.571428571,0.142857143,1,0.857142857,0.857142857,0,0.285714286,0.285714286,0,0.142857143,0,0,1,0,1,0,0,0,Low
0.105365519,0.012769869,0.033779062,0.009407165,0.522242535,0.20754717,0.032913269,0.62605042,0.038926682,0,0.042948135,0.173688101,0.06120178,0.0486618,0.016222834,0.061751152,0.857142857,0,0.428571429,0,0.142857143,0.571428571,1,1,0.428571429,0,0.857142857,0.714285714,1,1,1,0.571428571,0.428571429,0.285714286,0,0,0.142857143,0,0.857142857,0,1,0,0,0,Low
0.088205011,0.009893315,0.015841215,0.009520569,0.494210847,0.481132075,0.054410675,0.470588235,0.025510204,0.000645245,0.031847134,0.133776792,0.029426311,0.002027575,0.085399449,0.014193548,0.571428571,0,0.428571429,0.285714286,0.714285714,0.428571429,0.857142857,1,0.142857143,0,0.428571429,0.285714286,1,0.428571429,0.571428571,0.571428571,0.428571429,0.142857143,0,0,0.285714286,0,0.714285714,0.285714286,1,0,0,0,Low
0.063608283,0.006177865,0.00489214,0.00436877,0.41773309,0.273584906,0.054114159,0.43697479,0.010393046,0.11601497,0.058234759,0.077974871,0.073813056,0.051500406,0.271808999,0.035760369,1,0,0.428571429,0,0.714285714,0.571428571,1,1,0.571428571,0,0.285714286,0.571428571,1,0.571428571,0.428571429,0.571428571,0.714285714,0.714285714,0,0,0,0,1,0.428571429,1,0,0,0,Low
0.060519391,0.005784964,0.000931836,0.00463878,0.383302864,0.320754717,0.00222387,0.420168067,0.014172336,0.049812879,0.004549591,0.003695492,0.003090999,0.02027575,0.057545148,0.049769585,0.285714286,0,0.714285714,0.142857143,0.285714286,0.571428571,0.571428571,0.571428571,0.428571429,0,0.428571429,0.285714286,0.571428571,0.714285714,0.714285714,0.428571429,0.428571429,0.428571429,0,0,0.428571429,0,0.571428571,0,1,0,0,0,Low
0.069214049,0.006948328,0.0244607,0.004978993,0.502132846,0.481132075,0.005930319,0.521008403,0.060468632,0.041940896,0.025477707,0.227642276,0.029055391,0.154095702,0.041322314,0.115207373,0.571428571,0,0.285714286,0,0.142857143,0.714285714,0.714285714,0.428571429,0.571428571,0,0.285714286,0.714285714,0.285714286,0.714285714,1,0.428571429,0.857142857,0.857142857,0,0,0,0,1,0,1,0,0,0,Low
0.081112001,0.008922272,0.024926618,0.00876454,0.319926874,0.528301887,0.020014826,0.378151261,0.027966742,0.023874048,0.063694268,0.165558019,0.065529179,0.085158151,0.016835017,0.024147465,0.571428571,0,0.571428571,0,0.285714286,0.428571429,0.571428571,0.714285714,0.428571429,0,0.714285714,0.142857143,0.571428571,0.428571429,0.714285714,0.142857143,0.285714286,0.428571429,0,0,0,0,1,0.285714286,1,0,0,0,Low
0.096670861,0.011316253,0.06336486,0.009639374,0.46496039,0.669811321,0.052631579,0.365546218,0.074640967,0.016776358,0.080800728,0.031042129,0.072947577,0.060827251,0.037955311,0.053456221,0.857142857,0.142857143,0.285714286,0.142857143,0.285714286,0.428571429,0.857142857,1,0.428571429,0,0.428571429,0.428571429,0.857142857,0.428571429,0.857142857,0.428571429,0.428571429,0.428571429,0,0,0.142857143,0.142857143,0.857142857,0.142857143,1,0,0,0,Low
0.082256035,0.00894233,0.014955971,0.008040912,0.676112127,0.08490566,0.105559674,0.592436975,0.011337868,0.167118338,0.044585987,0.118994826,0.038946588,0.010137875,0.046525865,0.08202765,0.428571429,0,0.571428571,0,0.571428571,0.714285714,0.428571429,0.428571429,0.857142857,0,0.857142857,0.714285714,0.428571429,0.857142857,0.714285714,0.714285714,0.285714286,0.714285714,0,0,0,0,1,0.285714286,1,0,0,0,Low
0.065095527,0.006370186,0.023715231,0.004428172,0.625228519,0.518867925,0.007412898,0.62605042,0.052910053,0.023228804,0.093175614,0.029563932,0.082838774,0.0324412,0.123966942,0.063963134,0.857142857,0,0.857142857,0.428571429,0.428571429,0.857142857,0.714285714,0.571428571,0.857142857,0,0.285714286,0.714285714,0.571428571,0.714285714,0.571428571,0.714285714,0.857142857,0.714285714,0,0,0.285714286,0,0.714285714,0.428571429,1,0,0,0,Low
0.045303741,0.003971485,0.008153567,0.002737906,0.582571602,0.405660377,0.076352854,0.537815126,0.018896447,0.034843206,0.013648772,0.016999261,0.017927794,0.034468775,0.041322314,0.019354839,1,0,0.857142857,0.142857143,0.714285714,0.714285714,0.857142857,0.857142857,0.428571429,0,0.714285714,0.571428571,0.857142857,0.428571429,0.571428571,0.857142857,0.428571429,0.571428571,0,0,0,0.285714286,1,0.428571429,1,0,0,0,Low
0.072417344,0.007679855,0.028374412,0.009110153,0.750152346,0.669811321,0.007412898,0.823529412,0.053665911,0.126467931,0.089171975,0.225424982,0.073936696,0.126926196,0.053872054,0.027281106,0.857142857,0,0.714285714,0.142857143,0,0.714285714,0.714285714,0.857142857,1,0,0.571428571,0.857142857,0.857142857,0.571428571,1,0.571428571,0.571428571,0.714285714,0,0,0,0,1,0,1,0,0,0,Low
0.078251916,0.008279236,0.038251875,0.00644785,0.862279098,0.660377358,0.042994811,0.915966387,0.03968254,0.029681249,0.053867152,0.11308204,0.053288823,0.067315491,0.069788797,0.017511521,0.428571429,0,1,0,0.428571429,1,0.428571429,0.428571429,0.857142857,0,0.714285714,1,0.571428571,0,0.714285714,0.857142857,0.857142857,0.857142857,0,0,0,0,1,0.285714286,1,0,0,0,Low
0.119437135,0.01627058,0.041932628,0.017831492,0.806825107,0.537735849,0.005930319,0.907563025,0.03420257,0.109046329,0.085532302,0.031781227,0.06243818,0.062449311,0.213039486,0.096774194,0.857142857,0.142857143,0.857142857,0,0.714285714,0.428571429,1,0.285714286,0.714285714,0,0.714285714,0.714285714,1,0,0.571428571,0.285714286,0.714285714,0.714285714,0.2,0,0,0,1,0.428571429,1,0,0,0,Low
0.068756435,0.006922371,0.024693659,0.005740423,0.5984156,0.490566038,0.041512231,0.575630252,0.029667423,0.150987224,0.072793449,0.018477458,0.059347181,0.069343066,0.065809611,0.064516129,0.571428571,0,0.857142857,0,0.571428571,0.571428571,0.285714286,0,0.571428571,0,0.857142857,0.571428571,0.428571429,0,0.142857143,0.428571429,0.571428571,0.571428571,0,0,0.285714286,0,0.714285714,0.714285714,1,0,0,0,Low
0.079853564,0.008683935,0.011414993,0.008224519,0.826934796,0.716981132,0.064492216,0.890756303,0.068027211,0.09588334,0.008735214,0.062823356,0.014218595,0.356447689,0.133761861,0.050691244,0.857142857,0,0.857142857,0,0.571428571,0.857142857,0.285714286,0.142857143,0.714285714,0,1,0.714285714,0.714285714,0.714285714,0.714285714,0.428571429,0.571428571,0.571428571,0,0,0.285714286,0,0.714285714,0,1,0,0,0,Low
0.105594326,0.013020004,0.020733355,0.011167633,0.876904326,0.820754717,0.020756116,0.928571429,0.08276644,0.085430378,0.017288444,0.161123429,0.018545994,0.117599351,0.607591062,0.051981567,0.428571429,0,0.714285714,0,0.857142857,0.571428571,0.571428571,0,0.428571429,0,0.428571429,0.428571429,0.714285714,0.142857143,0.857142857,0.571428571,0.571428571,0.571428571,0,0,0,0,1,0.142857143,1,0,0,0,Low
0.09998856,0.012512654,0.058006802,0.014116148,0.670322974,0.764150943,0.088954781,0.668067227,0.038548753,0.047102852,0.106460419,0.082039911,0.186078141,0.123276561,0.022344659,0.138801843,0.857142857,0,0.571428571,0,1,0.714285714,0.857142857,0.857142857,1,0,0.571428571,0.714285714,0.857142857,0.714285714,1,0.428571429,0.428571429,0.571428571,0,0,0,0,1,0,1,0,0,0,Low
