WLmean_5721442,RHmean_GK48617,RFmean_5920012,SFmean_5721442,RFmean_6023001,RFmean_5922001,RFmean_6021010,RFd5p.d95p_5921009,RFd5p.d95p_6022001,RFd1mm.d50mm_6021013,RFd5p.d95p_6121015,TMd10p.d90p_GK4861,TMd10p.d90p_KB48615,RHd10p.d90p_KB48615,TNd10p.d90p_GK48617,RFd1mm.d50mm_6120014,RFd5p.d95p_6121067,RFd5p.d95p_KB48615,RFd5p.d95p_6122064,Cases
0.096670861,0.46496039,0.06336486,0.011316253,0.052631579,0.016776358,0.072947577,0.857142857,0.285714286,0.285714286,0.428571429,0.428571429,0.857142857,0.857142857,0.857142857,0.142857143,0.428571429,0.428571429,0.428571429,Low
0.082256035,0.676112127,0.014955971,0.00894233,0.105559674,0.167118338,0.038946588,0.428571429,0.571428571,0.571428571,0.857142857,0.857142857,0.428571429,0.428571429,0.714285714,0,0.714285714,0.857142857,0.714285714,Low
0.065095527,0.625228519,0.023715231,0.006370186,0.007412898,0.023228804,0.082838773,0.857142857,0.857142857,0.428571429,0.285714286,0.714285714,0.714285714,0.571428571,0.571428571,0.428571429,0.857142857,0.857142857,0.714285714,Low
0.045303741,0.582571602,0.008153567,0.003971485,0.076352854,0.034843206,0.017927794,1,0.857142857,0.714285714,0.714285714,0.428571429,0.857142857,0.857142857,0.571428571,0.142857143,0.714285714,0.428571429,0.571428571,Low
0.072417344,0.750152346,0.028374412,0.007679855,0.007412898,0.126467931,0.073936696,0.857142857,0.714285714,0,0.571428571,0.571428571,0.714285714,0.857142857,1,0.142857143,0.714285714,1,0.857142857,Low
0.078251916,0.862279098,0.038251875,0.008279236,0.042994811,0.029681249,0.053288823,0.428571429,1,0.428571429,0.714285714,0,0.428571429,0.571428571,0.714285714,0,1,0.857142857,1,Low
0.119437135,0.806825107,0.041932628,0.01627058,0.005930319,0.109046329,0.06243818,0.857142857,0.857142857,0.714285714,0.714285714,0,1,1,0.571428571,0,0.428571429,0.714285714,0.714285714,Low
0.068756435,0.5984156,0.024693659,0.006922371,0.041512231,0.150987224,0.059347181,0.571428571,0.857142857,0.571428571,0.857142857,0,0.285714286,0.428571429,0.142857143,0,0.571428571,0.571428571,0.571428571,Low
0.079853564,0.826934796,0.011414993,0.008683935,0.064492216,0.09588334,0.014218595,0.857142857,0.857142857,0.571428571,1,0.714285714,0.285714286,0.714285714,0.714285714,0,0.857142857,0.714285714,0.714285714,Low
0.105594326,0.876904326,0.020733355,0.013020004,0.020756116,0.085430378,0.018545994,0.428571429,0.714285714,0.857142857,0.428571429,0.142857143,0.571428571,0.714285714,0.857142857,0,0.571428571,0.428571429,0.428571429,Low
0.09998856,0.670322974,0.058006802,0.012512654,0.088954781,0.047102852,0.18607814,0.857142857,0.571428571,1,0.571428571,0.714285714,0.857142857,0.857142857,1,0,0.714285714,1,0.714285714,Low
